query6: Se desea un listado de todas las parejas de productos que aparezcan en más de un carro de la compra
 productcode | productcode | cestas 
 S700_2834   | S12_2823    |      5
 S18_3856    | S700_1938   |      2
 S24_2887    | S24_1046    |     18
 S24_1937    | S18_4933    |     14
 S700_3505   | S72_1253    |      6
 S18_3782    | S24_4620    |     20
 S18_4027    | S72_3212    |      5
 S24_1444    | S12_3891    |      8
 S18_3278    | S12_2823    |      7
 S32_4485    | S12_2823    |     16
 S10_4757    | S18_3856    |     16
 S18_2581    | S72_3212    |      3
 S24_2840    | S18_3232    |     24
 S18_3856    | S24_3151    |      8
 S24_3816    | S24_3151    |     16
 S18_2870    | S18_3482    |      2
 S18_2432    | S32_3207    |      3
 S24_3420    | S18_1662    |     22
 S12_3380    | S24_2000    |      4
 S18_3482    | S12_3380    |     16
 S24_1628    | S18_2248    |     10
 S18_1662    | S700_1691   |     10
 S50_4713    | S24_1578    |      9
 S10_1678    | S72_1253    |      2
 S10_4757    | S12_1108    |      4
 S10_4757    | S12_3891    |      3
 S18_2957    | S18_3136    |     27
 S700_1938   | S12_1108    |     12
 S32_4289    | S700_2834   |     23
 S18_2248    | S24_3191    |     12
 S18_3685    | S24_1046    |     11
 S24_1937    | S18_2949    |      6
 S700_1691   | S18_1662    |     10
 S700_2834   | S700_3167   |     17
 S700_3167   | S700_2047   |     10
 S18_3136    | S10_1949    |     18
 S24_2766    | S12_4675    |      3
 S700_1691   | S700_2466   |     21
 S24_2022    | S18_2949    |      8
 S24_2300    | S12_1108    |      4
 S24_4620    | S18_4721    |     24
 S24_1628    | S18_3685    |     18
 S12_3148    | S18_3140    |     13
 S18_4522    | S50_1392    |      2
 S72_1253    | S24_3420    |     24
 S18_2625    | S700_2834   |     11
 S24_4258    | S18_2319    |      3
 S18_1984    | S18_3278    |      6
 S18_1589    | S18_3232    |     11
 S24_1785    | S700_2466   |     17
 S18_3685    | S12_3380    |      6
 S24_2360    | S12_1099    |      9
 S18_2432    | S32_3522    |     11
 S12_1108    | S12_4473    |      6
 S700_2047   | S32_4289    |      6
 S18_3685    | S18_1984    |     18
 S18_3685    | S18_3232    |     13
 S12_3380    | S12_2823    |      4
 S12_3990    | S18_1589    |      4
 S700_2610   | S700_4002   |      7
 S24_3371    | S18_3232    |     11
 S24_3949    | S700_3962   |      3
 S18_4721    | S10_4698    |      3
 S32_3522    | S24_1444    |      2
 S18_3136    | S18_2957    |     27
 S24_3432    | S24_2972    |      4
 S700_2834   | S50_4713    |      3
 S18_4409    | S18_4933    |     21
 S18_1342    | S18_2325    |     14
 S50_1341    | S12_2823    |      2
 S18_1749    | S18_1367    |      9
 S12_3148    | S18_4027    |     20
 S18_1662    | S700_4002   |     18
 S700_3505   | S50_1514    |      7
 S50_1514    | S24_2011    |      9
 S18_2581    | S10_1678    |      6
 S50_4713    | S700_2834   |      3
 S18_1662    | S24_3151    |      5
 S72_3212    | S700_1938   |     18
 S10_1949    | S18_2432    |     10
 S18_1662    | S24_3420    |     22
 S24_2840    | S18_3140    |      2
 S10_4757    | S72_3212    |     13
 S10_4698    | S24_3949    |      5
 S24_4258    | S18_3232    |      2
 S24_3856    | S12_4675    |     20
 S18_3482    | S18_1589    |      2
 S32_3207    | S50_1514    |     19
 S18_4721    | S18_1129    |      6
 S18_3232    | S18_2238    |     18
 S24_3191    | S24_1046    |     21
 S24_2360    | S12_3380    |      5
 S18_1097    | S24_4258    |     10
 S24_3371    | S24_1628    |      2
 S32_4289    | S18_2625    |      6
 S18_3259    | S24_3151    |     13
 S18_1589    | S18_2795    |      2
 S18_2432    | S10_1949    |     10
 S18_2319    | S50_1514    |      5
 S18_3856    | S700_1138   |      8
 S18_2248    | S18_3136    |      5
 S24_4278    | S12_2823    |      3
 S32_1268    | S32_3207    |      3
 S32_4485    | S32_2206    |     22
 S10_2016    | S18_2581    |     11
 S24_2011    | S18_4522    |     24
 S24_3949    | S700_2047   |     16
 S18_3278    | S18_4721    |     20
 S18_3782    | S18_3232    |      3
 S12_1108    | S700_3505   |      6
 S10_4698    | S10_1678    |     22
 S24_1937    | S24_2022    |     22
 S24_4278    | S700_2466   |     18
 S700_2824   | S12_4473    |      9
 S18_1662    | S50_1341    |     10
 S10_4698    | S18_1889    |      2
 S18_2870    | S12_3990    |      5
 S18_2949    | S18_2795    |      9
 S24_4620    | S18_3482    |     20
 S18_4668    | S18_1097    |     21
 S24_3420    | S24_3151    |      5
 S18_3320    | S18_2795    |     13
 S10_1949    | S18_2795    |      5
 S18_2795    | S24_2022    |     24
 S32_4485    | S700_3167   |      2
 S18_2957    | S18_4409    |      4
 S24_2841    | S700_1691   |      8
 S24_2000    | S12_1099    |      5
 S700_1691   | S24_4278    |     21
 S700_3962   | S32_3207    |      3
 S700_2834   | S24_2841    |      3
 S18_2870    | S18_3278    |      2
 S18_2248    | S24_2766    |     12
 S18_1889    | S24_3432    |      3
 S18_2325    | S24_1937    |     26
 S24_3949    | S72_1253    |     15
 S24_3371    | S12_3380    |     19
 S18_3259    | S32_3207    |      9
 S18_3140    | S50_1392    |      6
 S18_3856    | S24_1785    |      7
 S12_1099    | S10_1678    |      6
 S12_1099    | S24_4620    |     15
 S12_1099    | S18_3782    |     10
 S700_2047   | S700_2834   |      4
 S18_4600    | S32_3522    |     19
 S10_1678    | S700_1691   |      6
 S18_3259    | S18_3856    |      2
 S18_2625    | S50_4713    |      4
 S10_4757    | S700_2466   |      5
 S700_4002   | S18_2625    |      5
 S18_4522    | S18_3259    |     21
 S18_3856    | S18_3140    |      2
 S18_2795    | S10_4962    |      2
 S24_2972    | S18_1984    |     17
 S24_4048    | S12_3891    |     11
 S18_4409    | S24_4258    |      3
 S32_2206    | S18_3278    |     13
 S18_4600    | S18_3320    |      6
 S700_1938   | S24_1444    |      2
 S18_1342    | S18_4933    |      6
 S18_2581    | S700_3167   |     17
 S24_1785    | S18_1662    |     10
 S24_3816    | S700_3505   |     12
 S24_1578    | S10_4698    |     25
 S72_1253    | S24_1785    |      6
 S32_1268    | S18_2957    |      3
 S10_2016    | S32_4485    |      4
 S24_3949    | S10_4698    |      5
 S24_4278    | S50_4713    |      2
 S700_2047   | S700_3167   |     10
 S18_4522    | S24_3151    |     17
 S18_3278    | S18_1129    |      7
 S18_3482    | S18_4721    |     21
 S18_1589    | S24_1046    |     15
 S18_1889    | S18_1589    |      8
 S72_1253    | S24_3949    |     15
 S18_1342    | S18_2795    |     20
 S700_2834   | S700_2466   |     15
 S18_2581    | S700_2610   |      4
 S50_1514    | S18_2319    |      5
 S24_2972    | S32_2206    |      7
 S700_2824   | S18_3136    |      8
 S18_3782    | S12_1099    |     10
 S12_4675    | S18_1984    |     11
 S18_1342    | S18_2949    |     11
 S18_3029    | S700_2610   |     15
 S24_1785    | S24_3949    |     17
 S24_2360    | S24_4620    |     16
 S18_2949    | S12_1666    |     15
 S18_3782    | S12_4675    |      5
 S12_3148    | S18_2319    |      6
 S10_2016    | S18_4721    |      2
 S18_4409    | S18_2949    |      2
 S700_2610   | S18_3029    |     15
 S18_4409    | S24_1046    |     16
 S12_3148    | S24_3151    |      4
 S24_2000    | S18_3278    |      3
 S50_4713    | S12_1099    |      8
 S12_1099    | S24_1628    |      2
 S700_2610   | S50_1341    |      2
 S18_1342    | S18_4668    |      3
 S12_1099    | S18_3685    |      5
 S10_1678    | S10_2016    |     20
 S50_1392    | S24_2300    |     11
 S18_3136    | S700_2824   |      8
 S32_4289    | S700_3167   |     21
 S24_1628    | S18_1889    |      6
 S24_2022    | S18_4668    |      2
 S10_4962    | S12_1666    |     20
 S18_1984    | S32_4485    |      2
 S72_3212    | S18_3140    |     15
 S12_1666    | S10_1949    |     21
 S24_2300    | S24_4258    |      7
 S700_2047   | S700_3962   |      6
 S24_2841    | S10_4757    |     13
 S18_3856    | S700_2047   |     23
 S700_3505   | S18_3140    |     13
 S24_3969    | S18_1749    |     18
 S700_2824   | S18_2957    |      7
 S50_4713    | S24_2360    |     24
 S18_1367    | S24_4258    |     13
 S10_2016    | S24_2000    |     20
 S18_3482    | S24_1578    |      2
 S18_1589    | S32_2206    |      3
 S18_2957    | S10_4962    |      9
 S18_2432    | S18_2957    |      7
 S18_2949    | S18_2432    |      8
 S24_2972    | S12_3990    |     11
 S24_1937    | S24_3191    |     10
 S700_3505   | S72_3212    |     25
 S12_3380    | S18_3232    |     11
 S12_2823    | S32_2206    |     12
 S24_2011    | S700_2610   |     15
 S18_1662    | S18_3856    |     20
 S700_3962   | S10_4757    |     13
 S10_4757    | S24_4048    |      2
 S50_4713    | S12_2823    |     16
 S32_2509    | S24_4048    |     18
 S700_2610   | S18_3856    |     11
 S18_2795    | S18_4933    |      8
 S18_2432    | S18_4027    |      2
 S18_3320    | S24_4258    |     21
 S24_3371    | S18_4721    |     18
 S18_1097    | S18_4600    |     14
 S24_1785    | S18_3856    |      7
 S24_3856    | S18_3782    |      9
 S32_4485    | S24_2360    |     25
 S18_1342    | S18_1749    |      9
 S32_2509    | S32_3522    |      4
 S700_4002   | S700_2610   |      7
 S18_4522    | S10_4757    |      9
 S18_3232    | S18_4668    |      5
 S24_4258    | S18_2957    |     20
 S12_1666    | S24_1937    |      3
 S700_4002   | S24_3420    |     18
 S18_3029    | S24_3420    |     18
 S18_3136    | S24_1937    |      7
 S18_3232    | S24_2766    |      4
 S50_1392    | S18_3259    |      6
 S10_1678    | S12_1099    |      6
 S50_1341    | S24_1785    |     20
 S700_1138   | S24_3816    |     17
 S18_2949    | S32_1268    |      4
 S24_2300    | S18_1097    |      5
 S18_3482    | S24_3856    |     14
 S18_1749    | S18_1129    |      2
 S700_3167   | S24_3949    |     20
 S12_4473    | S24_4048    |     17
 S72_3212    | S18_4027    |      5
 S18_4933    | S18_1367    |      5
 S24_2022    | S10_1949    |      5
 S18_3136    | S18_1097    |     16
 S50_1514    | S24_4048    |     13
 S18_3782    | S18_3482    |     17
 S24_3816    | S18_4522    |     10
 S18_3136    | S18_1749    |      4
 S18_1749    | S18_1342    |      9
 S24_2972    | S24_3191    |      3
 S24_3856    | S18_1889    |     22
 S24_1628    | S24_2972    |      8
 S32_4289    | S24_1785    |     23
 S18_2325    | S18_1342    |     14
 S24_3191    | S24_2766    |     25
 S32_4289    | S18_2581    |     20
 S18_4027    | S24_2840    |     11
 S50_1341    | S700_2466   |     21
 S24_1785    | S700_1691   |     20
 S24_2840    | S32_2509    |     25
 S24_1578    | S24_3949    |      3
 S24_2300    | S32_3207    |      4
 S18_2957    | S700_2824   |      7
 S24_1578    | S700_4002   |      3
 S32_3522    | S18_2957    |      7
 S24_2972    | S18_3278    |     11
 S18_4668    | S18_2319    |      6
 S24_3816    | S18_3140    |      7
 S12_3891    | S50_1514    |     20
 S24_3371    | S18_3278    |     21
 S32_2509    | S18_2238    |     18
 S10_1678    | S12_3990    |      5
 S50_4713    | S32_4485    |     26
 S24_1937    | S10_1949    |      5
 S24_2887    | S18_1589    |      9
 S24_4258    | S24_3969    |      5
 S18_1749    | S18_3136    |      4
 S18_1889    | S24_2972    |     19
 S18_1367    | S18_2325    |     13
 S72_3212    | S12_1108    |      8
 S24_4258    | S18_1367    |     13
 S24_2840    | S50_1514    |      6
 S12_3990    | S18_2625    |      4
 S24_2841    | S700_2047   |     24
 S18_3140    | S24_2840    |      2
 S24_4620    | S18_1129    |      6
 S12_4675    | S12_3990    |     19
 S700_2834   | S72_1253    |      3
 S12_3148    | S700_1138   |      5
 S32_4485    | S24_4278    |      2
 S32_1374    | S10_2016    |     14
 S24_1444    | S12_4473    |     21
 S24_2766    | S18_1342    |      5
 S700_2466   | S700_1691   |     21
 S72_1253    | S700_2834   |      3
 S18_1342    | S24_1046    |      3
 S18_3856    | S700_2834   |      3
 S24_1046    | S24_2022    |      7
 S18_2625    | S10_1678    |     18
 S24_2360    | S12_3990    |      8
 S32_4289    | S18_3029    |      4
 S24_3949    | S32_4289    |     16
 S24_2022    | S18_2957    |      9
 S12_3148    | S700_1938   |     12
 S24_2360    | S18_3278    |     11
 S18_3232    | S32_2509    |     23
 S32_4289    | S24_4278    |     24
 S700_3505   | S700_2047   |      6
 S32_2206    | S18_3685    |      2
 S24_4048    | S50_1392    |     23
 S10_1949    | S24_1937    |      5
 S18_3782    | S18_1984    |      4
 S18_3140    | S24_2011    |     18
 S24_1937    | S24_1628    |      6
 S32_2509    | S24_2840    |     25
 S18_1342    | S10_4962    |      2
 S18_1097    | S700_2824   |     15
 S12_3380    | S18_1984    |      8
 S700_3505   | S18_4027    |      4
 S32_4289    | S10_1678    |      6
 S18_1367    | S18_1097    |      9
 S10_4698    | S24_1785    |      9
 S10_1949    | S24_3969    |      2
 S24_2360    | S12_2823    |     16
 S10_1949    | S24_2300    |      5
 S32_3207    | S32_1268    |      3
 S18_4933    | S24_3969    |     13
 S10_1949    | S18_2248    |      2
 S24_1444    | S700_1938   |      2
 S18_2325    | S24_2887    |     12
 S18_1889    | S24_2766    |      3
 S24_1578    | S24_2000    |     17
 S10_4698    | S24_4620    |      3
 S24_3371    | S32_4485    |      9
 S18_1889    | S24_1578    |      3
 S24_3191    | S24_2972    |      3
 S18_2581    | S24_3816    |      2
 S10_1678    | S700_2834   |     11
 S700_2466   | S50_1341    |     21
 S32_3207    | S12_4473    |     10
 S18_2581    | S700_2834   |     21
 S24_1628    | S18_3232    |      8
 S24_2022    | S18_2248    |     15
 S18_2325    | S18_2957    |      7
 S18_3029    | S24_3949    |     12
 S18_1367    | S18_4668    |      4
 S24_3151    | S18_3029    |     11
 S12_1666    | S24_2022    |      3
 S24_2011    | S18_3140    |     18
 S700_4002   | S700_2834   |     12
 S18_4409    | S18_2325    |     18
 S24_3151    | S700_1938   |     12
 S18_2625    | S18_2581    |     11
 S24_4278    | S50_1341    |     21
 S32_3207    | S700_2610   |      2
 S18_4600    | S50_1392    |      4
 S700_2610   | S18_3140    |     10
 S24_4258    | S700_2824   |     10
 S18_3320    | S24_2887    |      3
 S18_2581    | S24_1578    |      9
 S32_2509    | S12_4473    |     21
 S24_1046    | S18_1367    |      2
 S50_4713    | S18_2325    |      2
 S24_3191    | S12_4675    |      3
 S24_1785    | S72_1253    |      6
 S18_3278    | S32_2206    |     13
 S700_4002   | S24_2841    |     17
 S700_1691   | S24_3949    |     18
 S72_1253    | S18_2581    |      4
 S12_4675    | S10_4698    |      2
 S18_3685    | S24_2766    |      8
 S24_1628    | S12_3990    |      2
 S32_4485    | S10_1678    |     12
 S24_4278    | S18_3029    |      3
 S18_1589    | S24_2887    |      9
 S18_2248    | S18_1367    |     10
 S50_1514    | S12_1108    |     20
 S32_3522    | S24_2840    |      5
 S10_1678    | S24_1785    |      4
 S700_3962   | S12_3891    |      7
 S10_4962    | S18_2957    |      9
 S24_2840    | S18_4600    |      8
 S18_3232    | S12_1666    |      4
 S32_4289    | S12_2823    |      2
 S50_1341    | S24_2000    |     10
 S18_3856    | S24_2011    |      5
 S18_4600    | S18_2949    |      8
 S700_4002   | S18_3856    |     13
 S700_2610   | S18_4522    |     13
 S700_3505   | S18_3029    |     12
 S18_4522    | S72_1253    |      2
 S18_1367    | S24_2766    |      3
 S12_3148    | S50_1392    |      9
 S18_2949    | S32_3522    |      9
 S24_2300    | S18_3136    |      3
 S18_3685    | S18_1889    |      9
 S12_2823    | S24_2360    |     16
 S18_2795    | S18_1342    |     20
 S18_2870    | S24_2766    |     10
 S24_3191    | S18_3320    |      2
 S24_3151    | S700_3962   |     19
 S24_2300    | S18_2949    |      3
 S10_1678    | S18_2625    |     18
 S10_2016    | S12_3990    |      3
 S24_3969    | S24_1628    |      6
 S700_2824   | S24_4048    |      2
 S12_1108    | S18_2238    |      8
 S18_1097    | S24_1937    |      5
 S18_4600    | S18_2957    |      7
 S700_2824   | S18_3320    |      5
 S24_2972    | S12_4675    |     17
 S18_4409    | S24_3969    |     17
 S700_3962   | S24_3949    |      3
 S18_1097    | S18_1749    |      2
 S32_1374    | S24_1785    |     17
 S24_3420    | S700_2466   |     15
 S700_2824   | S18_3232    |      7
 S12_3148    | S700_2610   |      3
 S700_2824   | S50_1392    |      2
 S24_1444    | S18_2238    |     24
 S18_4522    | S700_3962   |     19
 S18_1367    | S32_3522    |      2
 S700_4002   | S700_3962   |      3
 S24_2887    | S18_2325    |     12
 S18_3029    | S18_3140    |      5
 S12_3380    | S32_2206    |      5
 S24_1628    | S18_1749    |      9
 S24_3856    | S24_4620    |     12
 S32_1268    | S18_2432    |     17
 S24_2000    | S24_4620    |      2
 S32_4485    | S12_4675    |      3
 S18_1367    | S700_2824   |      2
 S18_2238    | S12_3148    |     12
 S18_3320    | S18_3136    |     20
 S18_1889    | S24_1628    |      6
 S18_2625    | S24_2360    |      4
 S12_1108    | S24_2011    |      8
 S700_3167   | S18_3029    |      8
 S700_2466   | S10_4757    |      5
 S24_4620    | S18_1984    |      5
 S10_4698    | S12_3990    |      3
 S24_4258    | S18_3136    |     19
 S18_2625    | S24_2000    |     21
 S12_1099    | S18_3482    |     19
 S72_3212    | S700_2610   |     20
 S18_2957    | S32_1268    |      3
 S24_1785    | S50_1341    |     20
 S24_2887    | S24_3969    |     14
 S18_4027    | S32_3522    |      2
 S18_4600    | S18_1367    |      2
 S24_4258    | S24_1444    |      2
 S700_1938   | S18_1662    |      2
 S18_1342    | S18_1367    |     25
 S24_4278    | S10_4698    |      8
 S700_2824   | S24_4258    |     10
 S10_4698    | S24_2360    |      7
 S24_2022    | S12_1666    |      3
 S700_4002   | S10_2016    |      6
 S12_1666    | S18_3232    |      4
 S12_3990    | S32_1374    |      2
 S700_2610   | S24_2011    |     15
 S50_1341    | S18_2581    |     17
 S12_4675    | S50_4713    |      3
 S32_3522    | S18_4668    |     25
 S24_1628    | S18_1984    |     11
 S12_3891    | S24_2011    |     10
 S12_3990    | S24_3856    |     13
 S18_2949    | S700_2824   |      8
 S18_4668    | S18_2795    |      2
 S700_2610   | S700_1691   |      2
 S24_4278    | S32_4485    |      2
 S18_2957    | S18_1749    |      4
 S24_3432    | S12_4675    |      3
 S18_4027    | S50_1514    |     21
 S24_2360    | S24_2972    |      3
 S700_4002   | S10_1678    |      3
 S24_1444    | S18_4668    |      2
 S18_1097    | S10_1949    |     25
 S72_3212    | S700_1138   |     20
 S12_2823    | S18_4721    |      7
 S12_3891    | S18_3259    |     16
 S32_2206    | S18_1889    |      4
 S24_2840    | S50_1392    |     18
 S18_3232    | S24_3432    |      5
 S24_4258    | S24_2022    |      8
 S12_1108    | S18_4668    |      2
 S32_1374    | S12_1099    |      3
 S18_2325    | S24_3969    |     19
 S18_3259    | S18_3029    |      5
 S12_1666    | S18_1097    |     24
 S700_1938   | S700_3505   |     16
 S18_2325    | S10_1949    |      4
 S18_4600    | S24_4258    |      5
 S12_4675    | S24_2360    |      4
 S24_2300    | S18_3320    |      3
 S18_3856    | S32_4289    |      5
 S18_2581    | S18_1662    |      9
 S700_2824   | S18_4668    |     22
 S700_2834   | S10_4698    |     12
 S12_1666    | S18_4600    |     17
 S32_2206    | S12_1099    |      8
 S24_3151    | S12_3891    |      6
 S24_2000    | S12_3380    |      4
 S18_4668    | S10_4962    |     14
 S10_4962    | S18_4600    |     25
 S24_2011    | S50_1514    |      9
 S12_1099    | S12_3990    |     26
 S24_1046    | S18_4409    |     16
 S18_1342    | S12_1666    |      3
 S700_2466   | S24_3420    |     15
 S12_1108    | S18_3232    |      2
 S50_4713    | S32_2206    |     21
 S700_2610   | S18_4027    |      2
 S10_1949    | S18_4600    |     12
 S700_4002   | S700_2047   |     17
 S24_2360    | S50_4713    |     24
 S10_1678    | S12_4675    |      3
 S18_1342    | S18_2432    |      2
 S18_2949    | S18_2248    |      3
 S18_4721    | S18_2625    |      2
 S32_3522    | S10_1949    |     15
 S24_3949    | S24_3420    |     19
 S32_1268    | S18_3136    |      4
 S18_3232    | S12_4675    |     16
 S24_3191    | S18_1889    |      3
 S12_1108    | S32_3207    |     16
 S32_1268    | S24_2840    |     14
 S32_2509    | S10_4757    |      2
 S24_2000    | S700_2466   |      9
 S12_1108    | S24_2300    |      4
 S12_3990    | S12_4675    |     19
 S18_2870    | S12_3380    |      6
 S10_2016    | S12_1099    |      3
 S24_3816    | S700_1138   |     17
 S18_1984    | S32_2206    |      4
 S50_1341    | S24_4278    |     21
 S10_4962    | S24_1444    |      4
 S18_1589    | S18_1749    |      7
 S18_3029    | S18_1662    |     20
 S32_1374    | S50_4713    |      3
 S24_4048    | S12_4473    |     17
 S18_3685    | S24_4620    |      3
 S18_1889    | S24_2360    |      3
 S12_1108    | S50_1392    |     11
 S50_4713    | S18_3782    |     17
 S18_4027    | S12_4473    |      9
 S24_3371    | S32_2206    |     12
 S700_1138   | S12_3891    |      7
 S18_2432    | S18_2795    |      2
 S24_3151    | S12_3148    |      4
 S24_2887    | S24_3432    |     20
 S24_2766    | S18_2248    |     12
 S12_3148    | S18_4600    |      2
 S10_4962    | S18_3136    |     10
 S18_3232    | S24_1444    |     19
 S700_3167   | S700_2834   |     17
 S10_1949    | S700_2824   |     14
 S18_1889    | S32_2206    |      4
 S24_3151    | S24_2841    |      6
 S18_3029    | S700_1138   |     11
 S32_3522    | S18_2949    |      9
 S12_1099    | S50_4713    |      8
 S18_4600    | S32_2509    |      9
 S18_2325    | S18_1749    |     19
 S72_1253    | S700_2047   |     27
 S32_2509    | S700_2824   |      6
 S24_2000    | S10_1678    |     16
 S18_1662    | S24_2000    |      3
 S24_3420    | S24_2841    |     27
 S10_4698    | S50_1341    |      7
 S50_1514    | S24_1444    |     10
 S24_3856    | S12_3380    |     16
 S32_2206    | S700_2834   |      2
 S12_3891    | S700_3505   |      6
 S18_2957    | S18_2325    |      7
 S32_1374    | S18_2581    |     19
 S18_4027    | S24_3151    |      3
 S24_3816    | S700_3167   |      5
 S10_1678    | S18_4721    |      4
 S10_4962    | S24_4048    |      2
 S24_3371    | S12_2823    |      4
 S12_1666    | S700_2824   |     18
 S18_4027    | S24_4048    |     15
 S12_3380    | S10_1678    |      3
 S50_4713    | S12_3990    |      7
 S700_1138   | S18_3140    |     13
 S18_3259    | S12_4473    |      3
 S24_2360    | S18_2625    |      4
 S700_3962   | S18_3259    |     14
 S18_3278    | S12_3990    |     20
 S18_3278    | S18_1589    |      2
 S10_4698    | S12_2823    |     18
 S10_4962    | S700_2824   |     17
 S10_1678    | S12_3380    |      3
 S18_1984    | S24_1046    |      8
 S24_1578    | S700_2834   |      9
 S24_1628    | S18_4933    |     12
 S18_1889    | S24_3856    |     22
 S18_3482    | S18_1129    |      7
 S24_2972    | S24_2766    |      3
 S700_2047   | S24_3420    |     25
 S32_3522    | S18_1097    |     18
 S72_1253    | S700_2466   |     13
 S700_2834   | S24_2000    |     16
 S700_1691   | S24_1578    |      4
 S18_1097    | S18_2248    |      2
 S24_2022    | S24_1046    |      7
 S700_3167   | S24_1785    |     20
 S24_2766    | S18_1129    |      6
 S10_4698    | S18_2581    |     11
 S24_2887    | S18_4409    |     18
 S24_2000    | S700_4002   |      6
 S18_3136    | S24_4258    |     19
 S10_4698    | S700_2466   |      5
 S18_2870    | S18_1984    |     17
 S24_2011    | S24_2841    |      2
 S18_2432    | S24_2840    |     14
 S18_2432    | S50_1392    |     10
 S12_1666    | S18_2949    |     15
 S24_2011    | S10_4757    |     12
 S700_3962   | S24_3816    |     12
 S24_1444    | S24_4258    |      2
 S700_3167   | S50_1341    |     24
 S18_1889    | S18_3232    |     18
 S18_3140    | S32_3207    |      9
 S24_2022    | S24_2766    |      7
 S18_2581    | S32_4289    |     20
 S18_3856    | S700_3167   |      9
 S24_3151    | S50_1514    |      5
 S18_1097    | S18_2949    |     19
 S18_3320    | S32_3522    |      6
 S12_3891    | S18_4522    |     10
 S18_3259    | S50_1392    |      6
 S12_2823    | S18_3782    |     10
 S32_4485    | S12_1099    |      8
 S32_4289    | S700_1691   |     24
 S12_3148    | S24_2300    |      6
 S700_3505   | S24_3420    |      4
 S18_2581    | S72_1253    |      4
 S700_2610   | S700_1938   |     12
 S18_1984    | S12_3990    |      8
 S18_3232    | S24_1628    |      8
 S50_1341    | S10_4757    |      2
 S18_1589    | S18_2870    |     21
 S24_3371    | S24_2360    |      9
 S24_2000    | S24_4278    |     13
 S18_4600    | S12_4473    |      9
 S18_1749    | S24_4258    |      5
 S12_4473    | S12_1108    |      6
 S18_3856    | S18_3029    |     24
 S18_3029    | S700_3505   |     12
 S24_1578    | S700_3167   |      4
 S24_1628    | S12_4675    |      5
 S18_2248    | S18_1097    |      2
 S10_2016    | S18_3278    |      3
 S12_3148    | S12_4473    |      9
 S12_2823    | S18_2625    |     14
 S32_3207    | S24_2011    |      3
 S18_2957    | S24_4258    |     20
 S700_2834   | S32_4289    |     23
 S18_3685    | S18_4933    |      5
 S18_2325    | S18_4933    |     15
 S18_2870    | S18_1889    |      9
 S24_1937    | S24_3432    |      9
 S10_4698    | S700_1691   |      7
 S10_2016    | S32_1374    |     14
 S24_2000    | S32_1374    |     20
 S18_2238    | S18_2432    |     10
 S24_2841    | S32_4289    |      6
 S18_3856    | S18_4522    |      4
 S18_3856    | S24_3816    |     19
 S10_2016    | S24_4278    |      9
 S50_1392    | S32_1268    |      7
 S10_4962    | S18_2238    |      4
 S18_1984    | S12_1099    |      7
 S18_2432    | S24_4258    |      2
 S700_2610   | S12_3891    |      4
 S18_3232    | S50_1514    |      5
 S24_3856    | S18_1129    |     16
 S700_2047   | S18_4522    |      2
 S18_3782    | S10_1678    |      6
 S24_2972    | S24_1628    |      8
 S12_1108    | S24_1444    |      8
 S18_2581    | S24_2841    |      6
 S24_4048    | S50_1514    |     13
 S12_1099    | S18_1889    |     17
 S24_3420    | S10_2016    |      2
 S24_4048    | S700_1938   |      3
 S32_1374    | S12_2823    |      7
 S12_3380    | S24_1628    |      3
 S24_3371    | S12_3990    |     22
 S24_3191    | S18_3685    |      8
 S700_2466   | S72_3212    |      2
 S18_3136    | S24_2887    |      2
 S10_4698    | S700_2834   |     12
 S32_1268    | S12_3148    |      5
 S18_3482    | S18_3232    |      7
 S32_1374    | S24_1578    |     12
 S10_4757    | S24_3151    |     15
 S10_4962    | S24_1937    |      2
 S700_2610   | S18_1662    |      9
 S700_2466   | S10_2016    |      6
 S18_4600    | S24_2300    |     18
 S24_2360    | S12_4675    |      4
 S18_3278    | S18_3482    |     24
 S18_1589    | S24_3432    |     14
 S24_1628    | S18_2870    |     19
 S24_1937    | S18_2957    |      7
 S18_3136    | S18_2432    |      7
 S18_4721    | S32_4485    |     15
 S32_2509    | S18_3259    |      2
 S18_4522    | S12_3148    |      8
 S32_4485    | S10_2016    |      4
 S12_3990    | S18_1984    |      8
 S50_1392    | S10_4757    |      4
 S24_4620    | S32_4485    |     16
 S12_4675    | S24_1628    |      5
 S18_2949    | S18_1749    |      3
 S24_4258    | S18_2325    |      6
 S24_2972    | S18_2795    |      2
 S700_3167   | S24_2000    |      9
 S700_2610   | S700_1138   |     21
 S700_1138   | S24_3151    |     25
 S24_3420    | S24_3816    |     16
 S32_1374    | S700_1691   |     15
 S18_2432    | S12_1666    |     14
 S700_4002   | S700_3505   |      3
 S12_3380    | S50_4713    |      4
 S700_3962   | S18_3029    |     12
 S18_1129    | S24_3856    |     16
 S700_4002   | S24_3816    |     10
 S72_3212    | S24_3420    |      4
 S700_3167   | S18_1662    |     12
 S700_2824   | S12_3891    |      2
 S12_3990    | S18_3232    |     10
 S12_3380    | S24_3371    |     19
 S12_4675    | S10_2016    |      2
 S12_4473    | S10_4962    |      7
 S18_2625    | S24_1578    |     23
 S18_4668    | S12_4473    |      6
 S18_3782    | S50_4713    |     17
 S18_3278    | S24_2972    |     11
 S700_1138   | S18_4522    |     18
 S24_2766    | S24_3191    |     25
 S18_1129    | S24_4620    |      6
 S700_3167   | S10_2016    |      7
